1.29,3.52,3.48,2.03,3.42,3.35
1.29,3.13,4.52,2.55,3.45,4.19
4.9,1.39,1.29,1.32,1.29,1.35
4.87,1.32,1.32,1.19,1.13,1.16
2.71,2.97,1.45,1.9,2,1.94
2.73,2.67,1.87,1.97,2,2
3.03,2.45,1.74,2,1.9,1.77
1.45,4.61,1.52,1.55,2.13,2.39
1.65,4.26,1.77,1.94,2.61,2.77
1.55,4.32,1.35,1.71,2.74,2.55
2.48,1.55,4.87,1.65,1.58,1.81
2.74,1.48,4.45,1.39,1.42,1.68
2.35,1.81,4.87,1.81,1.71,2.29
4.84,1.42,1.35,1.23,1.23,1.23
